"master_D,slaver_D,gate_D"
"75,17,76"
"76,35,76"
"75,37,76"
"75,17,76"
"76,30,76"
"76,29,76"
"78,38,76"
"93,27,76"
"81,17,76"
"83,36,76"
"81,29,76"
"80,36,76"
"80,22,76"
"85,23,76"
"86,32,76"
"91,23,76"
"88,23,76"
"87,32,76"
"88,36,76"
"89,39,76"
"89,38,76"
"88,40,76"
"94,17,76"
"83,36,76"
"81,29,76"
"80,16,76"
"82,30,76"
"83,18,76"
"83,34,76"
"81,1,76"
"83,38,76"
"83,9,76"
"82,43,76"
"82,43,76"
"82,40,76"
"84,11,76"
"81,10,76"
"83,37,76"
"83,33,76"
"82,20,76"
"79,22,76"
"82,22,76"
"82,27,76"
"84,17,76"
"84,31,76"
"84,19,76"
"83,18,76"
"83,21,76"
"83,32,76"
"80,20,76"
"83,31,76"
"87,34,76"
"85,17,76"
"88,19,76"
"86,32,76"
"84,31,76"
"83,28,76"
"91,37,76"
"83,30,76"
"83,14,76"
"83,17,76"
"84,38,76"
"83,14,76"
"83,33,76"
"84,20,76"
"84,10,76"
"84,28,76"
"84,29,76"
"83,28,76"
"86,33,76"
"83,12,76"
"81,15,76"
"84,33,76"
"82,42,76"
"83,14,76"
"84,24,76"
"83,22,76"
"85,18,76"
"79,26,76"
"81,18,76"
"84,33,76"
"82,38,76"
"80,29,76"
"83,27,76"
"84,40,76"
"84,35,76"
"82,38,76"
"80,38,76"
"82,17,76"
"81,35,76"
"82,36,76"
"83,36,76"
"82,34,76"
"82,41,76"
"82,27,76"
"81,37,76"
"81,39,76"
"82,34,76"
"80,13,76"
"80,23,76"
"86,21,76"
"83,35,76"
"86,20,76"
"85,28,76"
"84,36,76"
"86,15,76"
"86,40,76"
"86,39,76"
"85,36,76"
"82,15,76"
"84,12,76"
"85,36,76"
"85,34,76"
"86,35,76"
"88,30,76"
"83,34,76"
"84,30,76"
"87,23,76"
"84,16,76"
"85,15,76"
"86,19,76"
"83,19,76"
"84,25,76"
"84,36,76"
"84,31,76"
"84,16,76"
"85,8,76"
"86,37,76"
"85,16,76"
"84,41,76"
"83,10,76"
"85,11,76"
"83,34,76"
"84,37,76"
"86,25,76"
"85,37,76"
"84,32,76"
"86,33,76"
"84,30,76"
"85,15,76"
"85,30,76"
"86,35,76"
"85,25,76"
"85,33,76"
"85,26,76"
"85,30,76"
"84,38,76"
"91,38,76"
"79,29,76"
"88,47,76"
"87,10,76"
"87,12,76"
"88,33,76"
"89,31,76"
"86,17,76"
"80,17,76"
"83,16,76"
"82,36,76"
"87,30,76"
"85,32,76"
"86,30,76"
"86,32,76"
"86,37,76"
"85,21,76"
"83,25,76"
"84,31,76"
"85,29,76"
"84,20,76"
"87,11,76"
"85,40,76"
"86,41,76"
"86,15,76"
"85,35,76"
"86,39,76"
"86,33,76"
"86,26,76"
"87,29,76"
"87,14,76"
"87,21,76"
"85,40,76"
"87,15,76"
"85,37,76"
"85,36,76"
"85,44,76"
"87,13,76"
"86,11,76"
"86,35,76"
"87,12,76"
"87,33,76"
"85,33,76"
"86,23,76"
"86,43,76"
"86,19,76"
"86,18,76"
"85,40,76"
"86,41,76"
"84,40,76"
"86,36,76"
"83,38,76"
"83,38,76"
"83,17,76"
"83,35,76"
"84,29,76"
"85,17,76"
"85,33,76"
"86,34,76"
"87,35,76"
"85,17,76"
"85,36,76"
"86,33,76"
"85,28,76"
"86,18,76"
"85,32,76"
"84,35,76"
"86,18,76"
"88,35,76"
"85,25,76"
"86,20,76"
"86,28,76"
"83,35,76"
"82,18,76"
"83,21,76"
"83,37,76"
"85,32,76"
"85,36,76"
"86,34,76"
"84,31,76"
"85,19,76"
"86,38,76"
"87,29,76"
"86,28,76"
"84,27,76"
"83,23,76"
"85,27,76"
"84,31,76"
"84,20,76"
"87,35,76"
"87,33,76"
"86,16,76"
"84,34,76"
"84,20,76"
"86,34,76"
"85,22,76"
"86,35,76"
"85,33,76"
"88,18,76"
"86,18,76"
"84,26,76"
"87,33,76"
"83,19,76"
"84,18,76"
"84,30,76"
"85,21,76"
"87,31,76"
"87,29,76"
"86,30,76"
"86,28,76"
"85,35,76"
"85,26,76"
"84,31,76"
"85,30,76"
"84,18,76"
"83,30,76"
"85,20,76"
"83,30,76"
"83,37,76"
"86,15,76"
"85,33,76"
"83,17,76"
"85,29,76"
"84,32,76"
"85,15,76"
"84,20,76"
"86,31,76"
"84,20,76"
"86,16,76"
"84,19,76"
"84,34,76"
"84,34,76"
"82,20,76"
"81,15,76"
"84,17,76"
"84,22,76"
"82,36,76"
"84,16,76"
"83,35,76"
"82,28,76"
"82,28,76"
"80,30,76"
"82,28,76"
"82,32,76"
"83,30,76"
"81,32,76"
"83,37,76"
"84,32,76"
"84,18,76"
"84,15,76"
"86,19,76"
"85,16,76"
"87,16,76"
"84,14,76"
"84,17,76"
"83,36,76"
"86,37,76"
"86,36,76"
"85,34,76"
"85,34,76"
"83,29,76"
"82,30,76"
"86,14,76"
"82,29,76"
"83,30,76"
"83,33,76"
"83,36,76"
"84,35,76"
"83,35,76"
"82,30,76"
"85,34,76"
"85,19,76"
"83,38,76"
"83,33,76"
"82,31,76"
"87,22,76"
"81,32,76"
"85,34,76"
"80,30,76"
"76,25,76"
"75,30,76"
"75,34,76"
"73,29,76"
"76,27,76"
"77,18,76"
"76,26,76"
"75,26,76"
"76,29,76"
"76,30,76"
"76,35,76"
"77,31,76"
"78,32,76"
"77,27,76"
"78,33,76"
"80,33,76"
"78,28,76"
"77,20,76"
"80,32,76"
"82,33,76"
"80,16,76"
"81,34,76"
"79,18,76"
"79,17,76"
"77,20,76"
"77,20,76"
"75,24,76"
"71,32,76"
"75,17,76"
"72,33,76"
"77,34,76"
"74,20,76"
"76,17,76"
"77,38,76"
"79,17,76"
"78,15,76"
"80,20,76"
"79,20,76"
"78,34,76"
"79,17,76"
"76,35,76"
"79,17,76"
"76,17,76"
"79,16,76"
"79,19,76"
"79,17,76"
"76,30,76"
"79,18,76"
"78,17,76"
"79,33,76"
"77,16,76"
"78,32,76"
"78,33,76"
"79,17,76"
"78,36,76"
"78,35,76"
"78,29,76"
"76,33,76"
"78,18,76"
"76,17,76"
"76,16,76"
"91,16,76"
"80,33,76"
"91,18,76"
"90,16,76"
"87,31,76"
"85,35,76"
"84,18,76"
"86,20,76"
"84,23,76"
"84,31,76"
"83,29,76"
"83,29,76"
"81,18,76"
"83,34,76"
"84,17,76"
"83,16,76"
"82,30,76"
"83,8,76"
"83,35,76"
"81,37,76"
"84,35,76"
"83,37,76"
"83,33,76"
"82,39,76"
"83,13,76"
"84,31,76"
"82,14,76"
"82,38,76"
"83,29,76"
"83,36,76"
"84,42,76"
"83,23,76"
"83,8,76"
"83,36,76"
"82,12,76"
"82,12,76"
"83,39,76"
"82,36,76"
"83,14,76"
"84,29,76"
"82,33,76"
"83,24,76"
"85,20,76"
"83,11,76"
"83,15,76"
"84,15,76"
"83,32,76"
"83,29,76"
"83,39,76"
"93,33,76"
"84,38,76"
"78,22,76"
"79,34,76"
"73,36,76"
"77,33,76"
"64,19,76"
"75,31,76"
"81,20,76"
"78,16,76"
"76,25,76"
"46,37,76"
"44,32,76"
"43,15,76"
"43,36,76"
"95,30,76"
"95,32,76"
"42,34,76"
"94,25,76"
"92,29,76"
"96,29,76"
"41,33,76"
"43,31,76"
"79,19,76"
"82,18,76"
"84,27,76"
"89,33,76"
"89,26,76"
"95,27,76"
"78,17,76"
"83,29,76"
"83,34,76"
"90,30,76"
"84,36,76"
"86,16,76"
"85,39,76"
"86,29,76"
"86,32,76"
"86,32,76"
"88,33,76"
"86,19,76"
"88,32,76"
"88,35,76"
"91,34,76"
"93,26,76"
"92,31,76"
"91,30,76"
"89,31,76"
"90,22,76"
"87,38,76"
"85,17,76"
"89,21,76"
"88,19,76"
"91,30,76"
"89,20,76"
"91,33,76"
"90,35,76"
"91,30,76"
"92,28,76"
"92,18,76"
"93,29,76"
"91,27,76"
"91,31,76"
"95,38,76"
"94,19,76"
"92,37,76"
"92,20,76"
"93,18,76"
"93,27,76"
"93,32,76"
"94,37,76"
"93,29,76"
"92,30,76"
"91,35,76"
"94,30,76"
"91,36,76"
"90,32,76"
"94,26,76"
"96,30,76"
"95,20,76"
"96,29,76"
"94,30,76"
"101,34,76"
"99,30,76"
"99,37,76"
"97,31,76"
"95,36,76"
"93,32,76"
"94,32,76"
"91,38,76"
"91,32,76"
"95,30,76"
"91,27,76"
"96,31,76"
"95,29,76"
"96,27,76"
"91,37,76"
"91,26,76"
"90,28,76"
"89,30,76"
"91,25,76"
"90,29,76"
"91,32,76"
"93,30,76"
"90,37,76"
"91,30,76"
"93,27,76"
"89,27,76"
"89,20,76"
"89,32,76"
"89,19,76"
"83,33,76"
"76,36,76"
"63,19,76"
"84,39,76"
"82,41,76"
"66,33,76"
"93,18,76"
"83,30,76"
"89,31,76"
"68,40,76"
"85,19,76"
"90,36,76"
"84,27,76"
"79,19,76"
"85,19,76"
"85,34,76"
"83,30,76"
"82,20,76"
"83,23,76"
"83,30,76"
"83,33,76"
"81,28,76"
"82,28,76"
"84,31,76"
"83,30,76"
"83,32,76"
"83,30,76"
"85,30,76"
"84,32,76"
"86,32,76"
"83,29,76"
"83,36,76"
"83,30,76"
"84,30,76"
"83,34,76"
"81,29,76"
"82,34,76"
"83,33,76"
"80,23,76"
"81,34,76"
"83,35,76"
"84,34,76"
"81,31,76"
"81,34,76"
"83,35,76"
"83,20,76"
"81,33,76"
"83,35,76"
"83,23,76"
"82,31,76"
"83,11,76"
"83,34,76"
"82,38,76"
"81,34,76"
"81,20,76"
"81,35,76"
"83,33,76"
"83,17,76"
"81,38,76"
"81,30,76"
"81,33,76"
"79,19,76"
"81,30,76"
"80,34,76"
"81,30,76"
"83,33,76"
"83,34,76"
"79,18,76"
"83,36,76"
"82,22,76"
"82,32,76"
"81,31,76"
"83,22,76"
"80,35,76"
"81,37,76"
"81,16,76"
"83,33,76"
"82,15,76"
"83,19,76"
"83,37,76"
"84,38,76"
"83,16,76"
"83,33,76"
"82,17,76"
"83,35,76"
"78,30,76"
"79,35,76"
"75,20,76"
"73,34,76"
"74,33,76"
"76,33,76"
"78,21,76"
"79,21,76"
"82,34,76"
"83,35,76"
"80,33,76"
"81,33,76"
"81,35,76"
"78,31,76"
"81,20,76"
"80,33,76"
"79,36,76"
"80,32,76"
"80,31,76"
"80,27,76"
"78,30,76"
"80,35,76"
"80,32,76"
"79,20,76"
"78,29,76"
"79,25,76"
"79,32,76"
"78,32,76"
"78,19,76"
"77,21,76"
"77,30,76"
"78,21,76"
"78,29,76"
"81,31,76"
"79,30,76"
"79,32,76"
"78,30,76"
"79,33,76"
"76,33,76"
"78,18,76"
"78,18,76"
"78,24,76"
"78,35,76"
"80,30,76"
"79,19,76"
"81,31,76"
"82,31,76"
"80,23,76"
"82,33,76"
"89,35,76"
"79,31,76"
"70,37,76"
"63,34,76"
"75,31,76"
"75,32,76"
"73,32,76"
"73,29,76"
"73,29,76"
"76,30,76"
"74,30,76"
"76,34,76"
"75,33,76"
"74,31,76"
"73,28,76"
"73,25,76"
"76,38,76"
"79,34,76"
"75,33,76"
"69,30,76"
"73,37,76"
"77,17,76"
"75,35,76"
"75,32,76"
"74,35,76"
"73,34,76"
"73,12,76"
"75,25,76"
"78,30,76"
"76,17,76"
"76,30,76"
"76,30,76"
"79,29,76"
"76,35,76"
"74,31,76"
"77,37,76"
"75,35,76"
"76,25,76"
"74,28,76"
"77,30,76"
"76,31,76"
"73,31,76"
"75,13,76"
"74,34,76"
"74,34,76"
"74,32,76"
"74,31,76"
"72,32,76"
"77,38,76"
"74,36,76"
"76,30,76"
"75,31,76"
"74,24,76"
"73,28,76"
"71,30,76"
"72,29,76"
"73,37,76"
"69,32,76"
"69,24,76"
"74,28,76"
"77,31,76"
"78,23,76"
"73,30,76"
"74,30,76"
"73,29,76"
"75,32,76"
"73,33,76"
"75,31,76"
"76,30,76"
"76,31,76"
"78,33,76"
"78,32,76"
"78,31,76"
"80,33,76"
"79,30,76"
"76,35,76"
"90,32,76"
"84,33,76"
"83,29,76"
"80,30,76"
"75,33,76"
"98,31,76"
"102,22,76"
"91,18,76"
"88,35,76"
"89,31,76"
"92,36,76"
"76,15,76"
"90,33,76"
"82,33,76"
"81,35,76"
"84,32,76"
"83,32,76"
"84,31,76"
"84,18,76"
"81,38,76"
"80,20,76"
"77,31,76"
"76,33,76"
"72,31,76"
"85,27,76"
"86,34,76"
"78,35,76"
"79,30,76"
"82,31,76"
"77,34,76"
"90,32,76"
"93,30,76"
"89,31,76"
"88,35,76"
"60,32,76"
"63,39,76"
"69,38,76"
"79,38,76"
"86,34,76"
"83,30,76"
"78,30,76"
"78,30,76"
"85,34,76"
"89,34,76"
"92,31,76"
"91,36,76"
"90,38,76"
"94,33,76"
"85,34,76"
"84,37,76"
"87,17,76"
"81,19,76"
"86,23,76"
"82,36,76"
"82,37,76"
"80,17,76"
"81,33,76"
"86,35,76"
"85,31,76"
"84,24,76"
"82,23,76"
"80,22,76"
"79,25,76"
"83,23,76"
"83,34,76"
"77,26,76"
"76,32,76"
"78,32,76"
"75,31,76"
"80,16,76"
"76,32,76"
"80,35,76"
"80,22,76"
"82,31,76"
"82,19,76"
"81,36,76"
"79,22,76"
"83,35,76"
"77,10,76"
"81,32,76"
"79,32,76"
"80,31,76"
"81,34,76"
"80,30,76"
"82,32,76"
"79,30,76"
"78,21,76"
"82,35,76"
"69,35,76"
"78,15,76"
"79,35,76"
"81,37,76"
"80,34,76"
"80,29,76"
"79,26,76"
"79,31,76"
"80,31,76"
"79,32,76"
"80,32,76"
"76,34,76"
"102,38,76"
"86,37,76"
"84,19,76"
"81,28,76"
"78,35,76"
"79,21,76"
"84,38,76"
"84,37,76"
"86,31,76"
"84,33,76"
"85,37,76"
"85,30,76"
"86,35,76"
"87,31,76"
"90,30,76"
"88,31,76"
"90,31,76"
"88,38,76"
"88,38,76"
"89,31,76"
"89,37,76"
"90,20,76"
"89,16,76"
"90,31,76"
"89,32,76"
"90,16,76"
"87,35,76"
"88,17,76"
"89,35,76"
"87,34,76"
"87,16,76"
"88,32,76"
"87,21,76"
"88,35,76"
"88,37,76"
"88,35,76"
"90,19,76"
"90,16,76"
"87,38,76"
"89,17,76"
"88,36,76"
"87,16,76"
"88,33,76"
"87,19,76"
"88,19,76"
"83,36,76"
"86,32,76"
"83,36,76"
"82,32,76"
"82,31,76"
"83,30,76"
"79,30,76"
"78,31,76"
"80,35,76"
"80,31,76"
"80,21,76"
"81,19,76"
"80,18,76"
"80,34,76"
"80,19,76"
"82,31,76"
"81,20,76"
"81,36,76"
"82,30,76"
"81,36,76"
"83,34,76"
"83,22,76"
"82,21,76"
"82,22,76"
"83,19,76"
"85,30,76"
"83,29,76"
"83,31,76"
"84,20,76"
"81,35,76"
"83,21,76"
"83,24,76"
"85,29,76"
"83,27,76"
"84,27,76"
"83,31,76"
"86,34,76"
"86,18,76"
"87,20,76"
"85,34,76"
"87,35,76"
"83,35,76"
"85,32,76"
"85,36,76"
"84,38,76"
"85,34,76"
"85,36,76"
"86,21,76"
"85,20,76"
"84,21,76"
"85,31,76"
"84,30,76"
"84,17,76"
"84,36,76"
"85,19,76"
"87,30,76"
"86,32,76"
"80,18,76"
"80,19,76"
"83,21,76"
"80,35,76"
"81,18,76"
"83,37,76"
"83,18,76"
"83,37,76"
"82,37,76"
"84,20,76"
"83,17,76"
"83,36,76"
"84,15,76"
"83,16,76"
"83,34,76"
"82,15,76"
"81,16,76"
"84,17,76"
"81,18,76"
"86,37,76"
"85,17,76"
"82,20,76"
"82,38,76"
"85,34,76"
"84,19,76"
"85,29,76"
"84,18,76"
"85,31,76"
"84,23,76"
"83,22,76"
"83,19,76"
"83,31,76"
"86,19,76"
"83,31,76"
"83,31,76"
"83,30,76"
"83,21,76"
"84,30,76"
"84,36,76"
"83,33,76"
"81,39,76"
"83,15,76"
"85,16,76"
"82,34,76"
"85,32,76"
"85,33,76"
"83,17,76"
"84,33,76"
"83,20,76"
"83,32,76"
"81,19,76"
"81,19,76"
"88,35,76"
"85,20,76"
"89,34,76"
"88,36,76"
"84,19,76"
"82,26,76"
"81,17,76"
"84,30,76"
"83,32,76"
"85,17,76"
"86,30,76"
"87,36,76"
"88,15,76"
"88,38,76"
"86,19,76"
"86,26,76"
"85,29,76"
"84,24,76"
"84,40,76"
"85,32,76"
"86,34,76"
"85,20,76"
"87,34,76"
"90,38,76"
"89,31,76"
"95,7,76"
"91,39,76"
"91,15,76"
"90,15,76"
"87,9,76"
"86,12,76"
"94,13,76"
"84,39,76"
"91,36,76"
"90,38,76"
"77,18,76"
"85,31,76"
"84,21,76"
"83,31,76"
"84,37,76"
"83,32,76"
"82,34,76"
"83,31,76"
"83,38,76"
"84,18,76"
"84,38,76"
"83,36,76"
"84,17,76"
"84,36,76"
"83,38,76"
"83,30,76"
"83,35,76"
"83,37,76"
"83,18,76"
"84,20,76"
"85,30,76"
"84,31,76"
"84,20,76"
"83,17,76"
"83,34,76"
"84,20,76"
"84,36,76"
"84,17,76"
"83,18,76"
"83,17,76"
"83,36,76"
"85,36,76"
"83,17,76"
"84,22,76"
"85,20,76"
"83,36,76"
"84,19,76"
"83,36,76"
"86,34,76"
"84,30,76"
"84,18,76"
"84,36,76"
"83,31,76"
"83,37,76"
"83,34,76"
"85,32,76"
"82,35,76"
"81,32,76"
"81,20,76"
"83,30,76"
"81,20,76"
"81,34,76"
"82,35,76"
"80,21,76"
"81,32,76"
"82,18,76"
"79,19,76"
"80,36,76"
"83,30,76"
"80,18,76"
"81,37,76"
"81,35,76"
"81,33,76"
"82,18,76"
"84,33,76"
"82,22,76"
"82,33,76"
"82,19,76"
"83,37,76"
"78,20,76"
"80,33,76"
"81,31,76"
"80,33,76"
"80,36,76"
"82,35,76"
"81,18,76"
"81,31,76"
"83,34,76"
"82,21,76"
"82,38,76"
"82,38,76"
"83,20,76"
"84,32,76"
"81,32,76"
"82,38,76"
"83,19,76"
"82,37,76"
"83,35,76"
"83,23,76"
"84,21,76"
"86,36,76"
"83,19,76"
"84,34,76"
"86,33,76"
"83,33,76"
"82,18,76"
"78,22,76"
"78,19,76"
"79,22,76"
"80,31,76"
"81,38,76"
"80,35,76"
"78,34,76"
"80,38,76"
"81,20,76"
"82,35,76"
"79,33,76"
"81,18,76"
"81,31,76"
"83,18,76"
"81,19,76"
"81,20,76"
"82,20,76"
"81,19,76"
"80,32,76"
"84,38,76"
"83,21,76"
"87,33,76"
"82,21,76"
"84,34,76"
"86,19,76"
"85,31,76"
"88,15,76"
"76,34,76"
"84,33,76"
"82,31,76"
"80,17,76"
"77,36,76"
"74,28,76"
"77,35,76"
"74,29,76"
"76,33,76"
"76,32,76"
"76,18,76"
"76,19,76"
"78,18,76"
"76,30,76"
"81,30,76"
"80,31,76"
"79,19,76"
"80,23,76"
"80,22,76"
"79,26,76"
"79,19,76"
"82,23,76"
"82,30,76"
"84,30,76"
"84,30,76"
"83,16,76"
"83,26,76"
"83,29,76"
"85,29,76"
"82,20,76"
"84,27,76"
"84,22,76"
"83,20,76"
"83,19,76"
"83,25,76"
"81,28,76"
"82,23,76"
"84,30,76"
"83,31,76"
"83,31,76"
"81,28,76"
"81,28,76"
"79,32,76"
"83,34,76"
"83,19,76"
"85,30,76"
"83,32,76"
"82,26,76"
"79,34,76"
"79,33,76"
"79,19,76"
"75,19,76"
"77,32,76"
"76,34,76"
"83,31,76"
"81,28,76"
"80,30,76"
"80,25,76"
"83,26,76"
"83,28,76"
"79,29,76"
"79,30,76"
"77,30,76"
"78,31,76"
"79,29,76"
"77,21,76"
"79,29,76"
"80,31,76"
"78,30,76"
"79,32,76"
"79,34,76"
"79,32,76"
"81,32,76"
"80,21,76"
"79,33,76"
"78,40,76"
"79,31,76"
"79,20,76"
"82,31,76"
"78,19,76"
"38,32,76"
"75,35,76"
"76,27,76"
"81,15,76"
"82,20,76"
"78,27,76"
"72,25,76"
"74,29,76"
"65,35,76"
"91,33,76"
"83,30,76"
"87,35,76"
"80,35,76"
"78,29,76"
"78,21,76"
"76,31,76"
"76,30,76"
"78,30,76"
"77,30,76"
"79,34,76"
"78,28,76"
"78,29,76"
"76,28,76"
"78,32,76"
"76,29,76"
"78,30,76"
"76,33,76"
"77,31,76"
"76,32,76"
"76,26,76"
"75,32,76"
"75,29,76"
"78,33,76"
"76,34,76"
"77,32,76"
"76,29,76"
"76,32,76"
"77,31,76"
"79,30,76"
"76,31,76"
"76,32,76"
"83,30,76"
"78,33,76"
"78,31,76"
"78,30,76"
"79,36,76"
"82,29,76"
"75,26,76"
"75,29,76"
"98,30,76"
"79,33,76"
"88,17,76"
"82,21,76"
"81,28,76"
"91,31,76"
"72,35,76"
"71,31,76"
"76,34,76"
"71,31,76"
"71,36,76"
"82,31,76"
"76,32,76"
"77,31,76"
"76,36,76"
"72,32,76"
"77,32,76"
"83,34,76"
"81,27,76"
"71,32,76"
"76,31,76"
"70,28,76"
"77,26,76"
"76,30,76"
"79,33,76"
"78,31,76"
"68,23,76"
"67,31,76"
"81,30,76"
"75,27,76"
"74,29,76"
"67,30,76"
"94,30,76"
"58,31,76"
"71,31,76"
"62,34,76"
"69,31,76"
"69,29,76"
"80,32,76"
"80,29,76"
"80,31,76"
"79,30,76"
"79,30,76"
"72,28,76"
"70,30,76"
"77,29,76"
"75,30,76"
"79,32,76"
"73,28,76"
"77,32,76"
"78,31,76"
"75,29,76"
"81,31,76"
"73,29,76"
"77,30,76"
"78,29,76"
"77,25,76"
"77,27,76"
"77,28,76"
"75,30,76"
"77,21,76"
"76,28,76"
"76,32,76"
"76,35,76"
"76,30,76"
"77,28,76"
"77,26,76"
"75,33,76"
"76,30,76"
"72,30,76"
"76,31,76"
"41,27,76"
"80,28,76"
"79,30,76"
"91,32,76"
"88,31,76"
"75,31,76"
"82,29,76"
"80,32,76"
"83,30,76"
"84,30,76"
"83,27,76"
"82,29,76"
"80,31,76"
"82,28,76"
"81,28,76"
"80,31,76"
"81,29,76"
"81,29,76"
"83,32,76"
"83,27,76"
"81,28,76"
"74,36,76"
"81,33,76"
"78,24,76"
"59,37,76"
"80,32,76"
"76,36,76"
"83,29,76"
"79,37,76"
"82,32,76"
"83,41,76"
"82,35,76"
"77,27,76"
"81,31,76"
"86,30,76"
"81,31,76"
"75,35,76"
"76,29,76"
"76,31,76"
"82,18,76"
"86,2,76"
"88,34,76"
"88,33,76"
"86,35,76"
"85,34,76"
"85,35,76"
"86,16,76"
"85,38,76"
"88,33,76"
"87,35,76"
"89,35,76"
"86,21,76"
"85,40,76"
"84,31,76"
"86,33,76"
"87,37,76"
"85,29,76"
"82,32,76"
"82,31,76"
"85,34,76"
"84,32,76"
"85,29,76"
"83,29,76"
"84,37,76"
"85,20,76"
"83,27,76"
"82,31,76"
"82,34,76"
"82,32,76"
"84,38,76"
"81,32,76"
"82,33,76"
"84,31,76"
"83,30,76"
"83,30,76"
"83,21,76"
"84,33,76"
"83,27,76"
"83,38,76"
"82,26,76"
"81,34,76"
"84,38,76"
"83,33,76"
"84,29,76"
"87,31,76"
"84,29,76"
"84,32,76"
"84,24,76"
"83,21,76"
"85,30,76"
"84,31,76"
"84,29,76"
"80,34,76"
"79,35,76"
"75,40,76"
"72,36,76"
"79,36,76"
"77,30,76"
"78,32,76"
"77,30,76"
"79,35,76"
"76,36,76"
"76,35,76"
"0,103,76"
"40,109,76"
"22,118,76"
"29,118,76"
"32,121,76"
"22,117,76"
"35,119,76"
"42,117,76"
"28,114,76"
"28,110,76"
"28,114,76"
"28,110,76"
"28,118,76"
"28,122,76"
"28,114,76"
"28,121,76"
"35,121,76"
"45,128,76"
"38,125,76"
"46,116,76"
