2025-03-31 17:55:12 , INFO , ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z, Auth, Trans, RSSI-M
2025-03-31 17:55:12 , INFO , 0, 0, 0, 41, 76, 100, 3, 25, 32, 0, 9, 4, 0.0
2025-03-31 17:55:12 , INFO , 1, 0, 0, 39, 81, 100, 8, 21, 26, 0, 9, 4, 0.0
2025-03-31 17:55:12 , INFO , 2, 0, 0, 42, 83, 100, 1, 23, 32, 0, 9, 4, 0.0
2025-03-31 17:55:13 , INFO , 3, 0, 0, 40, 79, 100, 1, 26, 32, 0, 9, 4, 0.0
2025-03-31 17:55:13 , INFO , 4, 0, 0, 40, 83, 100, 3, 23, 29, 0, 9, 4, 0.0
2025-03-31 17:55:13 , INFO , 5, 0, 0, 43, 86, 100, 2, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:13 , INFO , 6, 0, 0, 41, 86, 100, 2, 28, 34, 0, 9, 4, 0.0
2025-03-31 17:55:14 , INFO , 7, 0, 0, 40, 87, 100, 6, 28, 33, 0, 9, 4, 0.0
2025-03-31 17:55:14 , INFO , 8, 0, 0, 41, 83, 100, 4, 29, 35, 0, 9, 4, 0.0
2025-03-31 17:55:14 , INFO , 9, 0, 0, 41, 84, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:14 , INFO , 10, 0, 0, 41, 85, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:15 , INFO , 11, 0, 0, 42, 86, 100, 2, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:15 , INFO , 12, 0, 0, 39, 78, 100, 3, 29, 32, 0, 9, 4, 0.0
2025-03-31 17:55:15 , INFO , 13, 0, 0, 42, 82, 100, 5, 21, 30, 0, 9, 4, 0.0
2025-03-31 17:55:15 , INFO , 14, 0, 0, 42, 79, 100, 4, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:16 , INFO , 15, 0, 0, 41, 82, 100, 7, 22, 29, 0, 9, 4, 0.0
2025-03-31 17:55:16 , INFO , 16, 0, 0, 39, 75, 100, 5, 26, 30, 0, 9, 4, 0.0
2025-03-31 17:55:16 , INFO , 17, 0, 0, 42, 81, 100, 6, 19, 28, 0, 9, 4, 0.0
2025-03-31 17:55:16 , INFO , 18, 0, 0, 43, 81, 100, 4, 23, 33, 0, 9, 4, 0.0
2025-03-31 17:55:17 , INFO , 19, 0, 0, 41, 76, 100, 2, 24, 31, 0, 9, 4, 0.0
2025-03-31 17:55:17 , INFO , 20, 0, 0, 41, 78, 100, 1, 20, 27, 0, 9, 4, 0.0
2025-03-31 17:55:17 , INFO , 21, 0, 0, 43, 80, 100, 2, 21, 31, 0, 9, 4, 0.0
2025-03-31 17:55:17 , INFO , 22, 0, 0, 42, 78, 100, 1, 23, 32, 0, 9, 4, 0.0
2025-03-31 17:55:18 , INFO , 23, 0, 0, 41, 75, 100, 2, 22, 29, 0, 9, 4, 0.0
2025-03-31 17:55:18 , INFO , 24, 0, 0, 43, 78, 100, 4, 18, 28, 0, 9, 4, 0.0
2025-03-31 17:55:18 , INFO , 25, 0, 0, 41, 79, 100, 3, 22, 29, 0, 9, 4, 0.0
2025-03-31 17:55:18 , INFO , 26, 0, 0, 42, 84, 100, 2, 22, 31, 0, 9, 4, 0.0
2025-03-31 17:55:19 , INFO , 27, 0, 0, 41, 83, 100, 9, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:19 , INFO , 28, 0, 0, 39, 83, 100, 4, 26, 30, 0, 9, 4, 0.0
2025-03-31 17:55:19 , INFO , 29, 0, 0, 42, 85, 100, 3, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:19 , INFO , 30, 0, 0, 40, 84, 100, 2, 28, 33, 0, 9, 4, 0.0
2025-03-31 17:55:20 , INFO , 31, 0, 0, 42, 83, 100, 4, 26, 34, 0, 9, 4, 0.0
2025-03-31 17:55:20 , INFO , 32, 0, 0, 44, 83, 100, 2, 24, 35, 0, 9, 4, 0.0
2025-03-31 17:55:20 , INFO , 33, 0, 0, 42, 82, 100, 3, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:20 , INFO , 34, 0, 0, 41, 98, 100, 2, 25, 32, 0, 9, 4, 0.0
2025-03-31 17:55:21 , INFO , 35, 0, 0, 40, 87, 100, 16, 40, 38, 0, 9, 4, 0.0
2025-03-31 17:55:21 , INFO , 36, 0, 0, 44, 84, 100, 5, 28, 38, 0, 9, 4, 0.0
2025-03-31 17:55:21 , INFO , 37, 0, 0, 44, 82, 100, 4, 25, 36, 0, 9, 4, 0.0
2025-03-31 17:55:21 , INFO , 38, 0, 0, 42, 82, 100, 17, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:22 , INFO , 39, 0, 0, 42, 83, 100, 7, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:22 , INFO , 40, 0, 0, 42, 81, 100, 3, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:22 , INFO , 41, 0, 0, 45, 85, 100, 3, 22, 35, 0, 9, 4, 0.0
2025-03-31 17:55:22 , INFO , 42, 0, 0, 45, 83, 100, 6, 26, 38, 0, 9, 4, 0.0
2025-03-31 17:55:23 , INFO , 43, 0, 0, 41, 83, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:23 , INFO , 44, 0, 0, 41, 83, 100, 4, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:23 , INFO , 45, 0, 0, 43, 86, 100, 4, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:23 , INFO , 46, 0, 0, 42, 82, 100, 2, 28, 35, 0, 9, 4, 0.0
2025-03-31 17:55:24 , INFO , 47, 0, 0, 40, 85, 100, 2, 25, 31, 0, 9, 4, 0.0
2025-03-31 17:55:24 , INFO , 48, 0, 0, 43, 84, 100, 1, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:24 , INFO , 49, 0, 0, 43, 85, 100, 2, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:24 , INFO , 50, 0, 0, 42, 87, 100, 4, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:25 , INFO , 51, 0, 0, 44, 83, 100, 3, 28, 38, 0, 9, 4, 0.0
2025-03-31 17:55:25 , INFO , 52, 0, 0, 43, 84, 100, 1, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:25 , INFO , 53, 0, 0, 43, 83, 100, 1, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:25 , INFO , 54, 0, 0, 42, 82, 100, 5, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:26 , INFO , 55, 0, 0, 43, 84, 100, 1, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:26 , INFO , 56, 0, 0, 42, 86, 100, 1, 26, 34, 0, 9, 4, 0.0
2025-03-31 17:55:26 , INFO , 57, 0, 0, 41, 85, 100, 3, 28, 34, 0, 9, 4, 0.0
2025-03-31 17:55:26 , INFO , 58, 0, 0, 41, 80, 100, 3, 27, 33, 0, 9, 4, 0.0
2025-03-31 17:55:27 , INFO , 59, 0, 0, 40, 83, 100, 4, 24, 30, 0, 9, 4, 0.0
2025-03-31 17:55:27 , INFO , 60, 0, 0, 40, 83, 100, 2, 26, 32, 0, 9, 4, 0.0
2025-03-31 17:55:27 , INFO , 61, 0, 0, 41, 83, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:27 , INFO , 62, 0, 0, 39, 82, 100, 2, 26, 30, 0, 9, 4, 0.0
2025-03-31 17:55:28 , INFO , 63, 0, 0, 41, 85, 100, 1, 25, 32, 0, 9, 4, 0.0
2025-03-31 17:55:28 , INFO , 64, 0, 0, 42, 84, 100, 2, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:28 , INFO , 65, 0, 0, 43, 83, 100, 5, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:28 , INFO , 66, 0, 0, 41, 87, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:29 , INFO , 67, 0, 0, 42, 81, 100, 2, 29, 36, 0, 9, 4, 0.0
2025-03-31 17:55:29 , INFO , 68, 0, 0, 42, 95, 100, 4, 23, 32, 0, 9, 4, 0.0
2025-03-31 17:55:29 , INFO , 69, 0, 0, 41, 95, 100, 11, 36, 38, 0, 9, 4, 0.0
2025-03-31 17:55:29 , INFO , 70, 0, 0, 43, 84, 100, 7, 35, 40, 0, 9, 4, 0.0
2025-03-31 17:55:30 , INFO , 71, 0, 0, 42, 83, 100, 3, 26, 34, 0, 9, 4, 0.0
2025-03-31 17:55:30 , INFO , 72, 0, 0, 42, 83, 100, 12, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:30 , INFO , 73, 0, 0, 41, 82, 100, 11, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:30 , INFO , 74, 0, 0, 43, 86, 100, 2, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:31 , INFO , 75, 0, 0, 42, 86, 100, 3, 28, 35, 0, 9, 4, 0.0
2025-03-31 17:55:31 , INFO , 76, 0, 0, 40, 85, 100, 2, 28, 33, 0, 9, 4, 0.0
2025-03-31 17:55:31 , INFO , 77, 0, 0, 40, 85, 100, 4, 28, 33, 0, 9, 4, 0.0
2025-03-31 17:55:31 , INFO , 78, 0, 0, 42, 81, 100, 1, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:32 , INFO , 79, 0, 0, 42, 97, 100, 5, 23, 32, 0, 9, 4, 0.0
2025-03-31 17:55:32 , INFO , 80, 0, 0, 42, 83, 100, 12, 38, 40, 0, 9, 4, 0.0
2025-03-31 17:55:32 , INFO , 81, 0, 0, 42, 82, 100, 2, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:32 , INFO , 82, 0, 0, 42, 83, 100, 1, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:33 , INFO , 83, 0, 0, 42, 83, 100, 14, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:33 , INFO , 84, 0, 0, 41, 83, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:33 , INFO , 85, 0, 0, 42, 83, 100, 1, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:33 , INFO , 86, 0, 0, 43, 85, 100, 1, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:34 , INFO , 87, 0, 0, 40, 83, 100, 2, 28, 33, 0, 9, 4, 0.0
2025-03-31 17:55:34 , INFO , 88, 0, 0, 42, 80, 100, 0, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:34 , INFO , 89, 0, 0, 43, 83, 100, 3, 22, 32, 0, 9, 4, 0.0
2025-03-31 17:55:34 , INFO , 90, 0, 0, 43, 85, 100, 3, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 91, 0, 0, 41, 83, 100, 2, 27, 33, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 92, 0, 0, 43, 83, 100, 3, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 93, 0, 0, 41, 84, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 94, 0, 0, 41, 86, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 95, 0, 0, 43, 83, 100, 2, 27, 36, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 96, 0, 0, 40, 84, 100, 1, 26, 32, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 97, 0, 0, 39, 88, 100, 2, 27, 31, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 98, 0, 0, 43, 84, 100, 2, 29, 37, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 99, 0, 0, 42, 83, 100, 2, 26, 34, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 100, 0, 0, 41, 84, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 101, 0, 0, 40, 88, 100, 5, 27, 32, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 102, 0, 0, 43, 82, 100, 4, 29, 37, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 103, 0, 0, 43, 82, 100, 2, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 104, 0, 0, 41, 86, 100, 2, 25, 32, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 105, 0, 0, 42, 82, 100, 2, 28, 35, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 106, 0, 0, 42, 83, 100, 2, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 107, 0, 0, 42, 82, 100, 1, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 108, 0, 0, 43, 83, 100, 4, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 109, 0, 0, 41, 87, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 110, 0, 0, 42, 77, 100, 5, 29, 36, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 111, 0, 0, 42, 83, 100, 6, 20, 29, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 112, 0, 0, 42, 85, 100, 1, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 113, 0, 0, 43, 88, 100, 3, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 114, 0, 0, 42, 86, 100, 11, 29, 36, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 115, 0, 0, 45, 85, 100, 5, 26, 38, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 116, 0, 0, 42, 87, 100, 1, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 117, 0, 0, 41, 82, 100, 1, 29, 35, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 118, 0, 0, 43, 85, 100, 4, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 119, 0, 0, 43, 83, 100, 1, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 120, 0, 0, 44, 84, 100, 5, 24, 35, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 121, 0, 0, 40, 83, 100, 3, 27, 32, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 122, 0, 0, 41, 82, 100, 2, 26, 33, 0, 9, 4, 0.0
